港澳台测试,#genre#
廣東綜藝4K,http://192.168.31.1/iptv.php?tid=gdutv&id=2&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
G導視高清,http://192.168.31.1/iptv.php?tid=gdutv&id=3&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
翡翠台,http://192.168.31.1/iptv.php?tid=gdutv&id=4&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
明珠台,http://192.168.31.1/iptv.php?tid=gdutv&id=5&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
鳳凰中文.576,http://192.168.31.1/iptv.php?tid=gdutv&id=6&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
星空衛視.576,http://192.168.31.1/iptv.php?tid=gdutv&id=7&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
澳亞衛視.576,http://192.168.31.1/iptv.php?tid=gdutv&id=8&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV1,http://192.168.31.1/iptv.php?tid=gdutv&id=9&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV2,http://192.168.31.1/iptv.php?tid=gdutv&id=10&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV3,http://192.168.31.1/iptv.php?tid=gdutv&id=11&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV4,http://192.168.31.1/iptv.php?tid=gdutv&id=12&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV5,http://192.168.31.1/iptv.php?tid=gdutv&id=13&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV5+,http://192.168.31.1/iptv.php?tid=gdutv&id=14&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV6,http://192.168.31.1/iptv.php?tid=gdutv&id=15&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV7,http://192.168.31.1/iptv.php?tid=gdutv&id=16&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV8,http://192.168.31.1/iptv.php?tid=gdutv&id=17&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV9,http://192.168.31.1/iptv.php?tid=gdutv&id=18&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV10,http://192.168.31.1/iptv.php?tid=gdutv&id=19&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV11,http://192.168.31.1/iptv.php?tid=gdutv&id=20&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV12,http://192.168.31.1/iptv.php?tid=gdutv&id=21&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV13,http://192.168.31.1/iptv.php?tid=gdutv&id=22&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV14,http://192.168.31.1/iptv.php?tid=gdutv&id=23&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV15,http://192.168.31.1/iptv.php?tid=gdutv&id=24&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV16,http://192.168.31.1/iptv.php?tid=gdutv&id=25&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV17,http://192.168.31.1/iptv.php?tid=gdutv&id=26&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CGTN.576,http://192.168.31.1/iptv.php?tid=gdutv&id=27&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣東衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=28&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
深圳衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=29&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
東方衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=30&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
北京衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=31&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
湖南衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=32&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
江西衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=33&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
四川衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=34&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
江蘇衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=35&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
浙江衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=36&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
天津衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=37&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
河北衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=38&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
重慶衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=39&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
貴州衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=40&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
遼寧衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=41&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
湖北衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=42&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
安徽衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=43&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
黑龍江衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=44&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
海南衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=45&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
三沙衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=46&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
陝西衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=47&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
東南衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=48&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
山東衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=49&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
山西衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=50&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
梨園頻道,http://192.168.31.1/iptv.php?tid=gdutv&id=51&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
武術世界,http://192.168.31.1/iptv.php?tid=gdutv&id=52&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
文物寶庫,http://192.168.31.1/iptv.php?tid=gdutv&id=53&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CHC高清電影,http://192.168.31.1/iptv.php?tid=gdutv&id=54&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
樂遊,http://192.168.31.1/iptv.php?tid=gdutv&id=55&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
求索紀錄,http://192.168.31.1/iptv.php?tid=gdutv&id=56&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
求索科學,http://192.168.31.1/iptv.php?tid=gdutv&id=57&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
求索動物,http://192.168.31.1/iptv.php?tid=gdutv&id=58&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
求索生活,http://192.168.31.1/iptv.php?tid=gdutv&id=59&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
魅力足球,http://192.168.31.1/iptv.php?tid=gdutv&id=60&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
勁爆體育,http://192.168.31.1/iptv.php?tid=gdutv&id=61&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣東珠江,http://192.168.31.1/iptv.php?tid=gdutv&id=62&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣東體育,http://192.168.31.1/iptv.php?tid=gdutv&id=63&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣東新聞,http://192.168.31.1/iptv.php?tid=gdutv&id=64&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣東民生,http://192.168.31.1/iptv.php?tid=gdutv&id=65&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣東經濟科教,http://192.168.31.1/iptv.php?tid=gdutv&id=66&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
大灣區衛視,http://192.168.31.1/iptv.php?tid=gdutv&id=67&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣東影視,http://192.168.31.1/iptv.php?tid=gdutv&id=68&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
嘉佳卡通,http://192.168.31.1/iptv.php?tid=gdutv&id=69&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣東少兒,http://192.168.31.1/iptv.php?tid=gdutv&id=70&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
嶺南戲曲,http://192.168.31.1/iptv.php?tid=gdutv&id=71&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
汕頭綜合,http://192.168.31.1/iptv.php?tid=gdutv&id=72&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
汕頭經濟生活,http://192.168.31.1/iptv.php?tid=gdutv&id=73&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
汕頭文旅體育,http://192.168.31.1/iptv.php?tid=gdutv&id=74&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
潮州綜合,http://192.168.31.1/iptv.php?tid=gdutv&id=75&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
潮州民生,http://192.168.31.1/iptv.php?tid=gdutv&id=76&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
中山綜合,http://192.168.31.1/iptv.php?tid=gdutv&id=77&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
中山香山文化,http://192.168.31.1/iptv.php?tid=gdutv&id=78&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
中山教育,http://192.168.31.1/iptv.php?tid=gdutv&id=79&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
鶴山綜合,http://192.168.31.1/iptv.php?tid=gdutv&id=80&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
梅州1,http://192.168.31.1/iptv.php?tid=gdutv&id=81&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
梅州2,http://192.168.31.1/iptv.php?tid=gdutv&id=82&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
東莞新聞綜合,http://192.168.31.1/iptv.php?tid=gdutv&id=83&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
東莞生活資訊,http://192.168.31.1/iptv.php?tid=gdutv&id=84&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
佛山綜合,http://192.168.31.1/iptv.php?tid=gdutv&id=85&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
佛山公共,http://192.168.31.1/iptv.php?tid=gdutv&id=86&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
佛山影視,http://192.168.31.1/iptv.php?tid=gdutv&id=87&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
南海綜合,http://192.168.31.1/iptv.php?tid=gdutv&id=88&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
順德綜合,http://192.168.31.1/iptv.php?tid=gdutv&id=89&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
鬥門融媒,http://192.168.31.1/iptv.php?tid=gdutv&id=90&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
惠州1,http://192.168.31.1/iptv.php?tid=gdutv&id=91&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
惠州2,http://192.168.31.1/iptv.php?tid=gdutv&id=92&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
博羅綜合,http://192.168.31.1/iptv.php?tid=gdutv&id=93&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廉江綜合-1,http://192.168.31.1/iptv.php?tid=gdutv&id=94&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廉江綜合-2,http://192.168.31.1/iptv.php?tid=gdutv&id=95&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州綜合,http://192.168.31.1/iptv.php?tid=gdutv&id=96&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州新聞,http://192.168.31.1/iptv.php?tid=gdutv&id=97&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州法治.576,http://192.168.31.1/iptv.php?tid=gdutv&id=98&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州競賽.576,http://192.168.31.1/iptv.php?tid=gdutv&id=99&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州影視.576,http://192.168.31.1/iptv.php?tid=gdutv&id=100&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
增城電視台.576,http://192.168.31.1/iptv.php?tid=gdutv&id=101&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
湛江綜合.576,http://192.168.31.1/iptv.php?tid=gdutv&id=102&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
湛江公共.576,http://192.168.31.1/iptv.php?tid=gdutv&id=103&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
韶關新聞綜合.576,http://192.168.31.1/iptv.php?tid=gdutv&id=104&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
韶關綠色生活.576,http://192.168.31.1/iptv.php?tid=gdutv&id=105&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
始興綜合.576,http://192.168.31.1/iptv.php?tid=gdutv&id=106&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
江門綜合.576,http://192.168.31.1/iptv.php?tid=gdutv&id=107&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
江門僑鄉生活.576,http://192.168.31.1/iptv.php?tid=gdutv&id=108&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
新會綜合.576,http://192.168.31.1/iptv.php?tid=gdutv&id=109&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
佛岡.576,http://192.168.31.1/iptv.php?tid=gdutv&id=110&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
懷集綜合.576,http://192.168.31.1/iptv.php?tid=gdutv&id=111&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
雲浮綜合.576,http://192.168.31.1/iptv.php?tid=gdutv&id=112&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
雲浮文旅.576,http://192.168.31.1/iptv.php?tid=gdutv&id=113&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
珠海1.576,http://192.168.31.1/iptv.php?tid=gdutv&id=114&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
珠海2.576,http://192.168.31.1/iptv.php?tid=gdutv&id=115&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
河源綜合.576,http://192.168.31.1/iptv.php?tid=gdutv&id=116&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
河源公共.576,http://192.168.31.1/iptv.php?tid=gdutv&id=117&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
肇慶綜合.576,http://192.168.31.1/iptv.php?tid=gdutv&id=118&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
肇慶生活服務.576,http://192.168.31.1/iptv.php?tid=gdutv&id=119&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
揭陽綜合.576,http://192.168.31.1/iptv.php?tid=gdutv&id=120&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
揭陽生活.576,http://192.168.31.1/iptv.php?tid=gdutv&id=121&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
清遠新聞綜合.576,http://192.168.31.1/iptv.php?tid=gdutv&id=122&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
清遠文旅生活.576,http://192.168.31.1/iptv.php?tid=gdutv&id=123&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
汕尾新聞綜合.576,http://192.168.31.1/iptv.php?tid=gdutv&id=124&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
汕尾文化生活.576,http://192.168.31.1/iptv.php?tid=gdutv&id=125&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州共享課堂一年級,http://192.168.31.1/iptv.php?tid=gdutv&id=126&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州共享課堂二年級,http://192.168.31.1/iptv.php?tid=gdutv&id=127&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州共享課堂三年級,http://192.168.31.1/iptv.php?tid=gdutv&id=128&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州共享課堂四年級,http://192.168.31.1/iptv.php?tid=gdutv&id=129&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州共享課堂五年級,http://192.168.31.1/iptv.php?tid=gdutv&id=130&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州共享課堂六年級,http://192.168.31.1/iptv.php?tid=gdutv&id=131&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州共享課堂初一,http://192.168.31.1/iptv.php?tid=gdutv&id=132&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州共享課堂初二,http://192.168.31.1/iptv.php?tid=gdutv&id=133&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州共享課堂初三,http://192.168.31.1/iptv.php?tid=gdutv&id=134&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州共享課堂高一,http://192.168.31.1/iptv.php?tid=gdutv&id=135&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
廣州共享課堂高二,http://192.168.31.1/iptv.php?tid=gdutv&id=136&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D

组播测试,#genre#
广东卫视,http://192.168.31.1/rtp.php?domain=Ly4hGBY/QBsgCD4uMQkFVwpHEwAXMTNkGzoLHiosMTE%3D&rtp=239.77.0.2:5146$1#http://192.168.31.1/rtp.php?domain=AS0AXTsSJAs0JRshNAlQECceIQI/PR5v&rtp=239.77.0.2:5146$2#http://192.168.31.1/rtp.php?domain=LBMuHRAOPwIdCGM4MidcDQoeKUE9PThm&rtp=239.77.0.2:5146$3#http://192.168.31.1/rtp.php?domain=LQcxHhd0HUMYDGcuMwkvDTIgKQ8/PR4lGQFzVA%3D%3D&rtp=239.77.0.2:5146$4#http://192.168.31.1/rtp.php?domain=FzEAWjgsEkY0CwNgHw1cUw0sKUM8PR4rGTdzVA%3D%3D&rtp=239.77.0.2:5146$5#http://192.168.31.1/rtp.php?domain=LAQhEjkSJEE3CxsjHQ1cDAksDBkrSg4nNwgYGT5aACwXQEwqCAMefiUJOgIJHxVNEBYzbQ%3D%3D&rtp=239.77.0.2:5146$6#http://192.168.31.1/rtp.php?domain=LDEtXREFQEIYJT0sHQogVg%3D%3D&rtp=239.77.0.2:5146$7#http://192.168.31.1/rtp.php?domain=LVoLEjgrDRgYJmdgNRYGUSYwBwI/OGJv&rtp=239.77.0.2:5146$8#http://192.168.31.1/rtp.php?domain=LVoMWjosLEA1MgAkMyM/DQw3cw0WLjM4NWIAHwUFQSosQSgqC2ZkeCczPUUIJE9E&rtp=239.77.0.2:5146$9#http://192.168.31.1/rtp.php?domain=AS41ETsCPxscMgMhNCQnEiQaBAcQSh0hNQd7GysFOjAXJhZuHAAROQ%3D%3D&rtp=239.77.0.2:5146$10
